workout_id,workout_date,workout_type,distance,entry_date,entry_time
323,13/06/2016,Gym,1,05/12/2017,23:00:00
324,14/06/2016,Gym,1,05/12/2017,23:00:00
325,15/06/2016,Run,9,05/12/2017,23:00:00
326,16/06/2016,Swim,1.5,05/12/2017,23:00:00
327,17/06/2016,Cycle,80,05/12/2017,23:00:00
328,17/06/2016,Swim,0.5,05/12/2017,23:00:00
329,18/06/2016,Cycle,42,05/12/2017,23:00:00
330,18/06/2016,Swim,0.5,05/12/2017,23:00:00
331,19/06/2016,Cycle,25,05/12/2017,23:00:00
332,19/06/2016,Swim,2,05/12/2017,23:00:00
333,20/06/2016,Gym,1,05/12/2017,23:00:00
334,21/06/2016,Run,7,05/12/2017,23:00:00
335,24/06/2016,Run,7,05/12/2017,23:00:00
336,25/06/2016,Swim,2,05/12/2017,23:00:00
337,26/06/2016,Run,12,05/12/2017,23:00:00
338,30/06/2016,Gym,1,05/12/2017,23:00:00
339,01/07/2016,Gym,1,05/12/2017,23:00:00
340,02/07/2016,Swim,2,05/12/2017,23:00:00
341,03/07/2016,Run,5,05/12/2017,23:00:00
342,04/07/2016,Gym,1,05/12/2017,23:00:00
343,08/07/2016,Cycle,30,05/12/2017,23:00:00
344,08/07/2016,Swim,2,05/12/2017,23:00:00
345,09/07/2016,Cycle,100,05/12/2017,23:00:00
346,10/07/2016,Gym,1,05/12/2017,23:00:00
347,10/07/2016,Run,5,05/12/2017,23:00:00
348,15/07/2016,Swim,1.5,05/12/2017,23:00:00
349,16/07/2016,Cycle,87,05/12/2017,23:00:00
350,16/07/2016,Run,10,05/12/2017,23:00:00
351,17/07/2016,Yoga,1,05/12/2017,23:00:00
352,20/07/2016,Swim,2,05/12/2017,23:00:00
353,22/07/2016,Swim,2,05/12/2017,23:00:00
354,23/07/2016,Run,18,05/12/2017,23:00:00
355,24/07/2016,Swim,2,05/12/2017,23:00:00
356,28/07/2016,Swim,0.5,05/12/2017,23:00:00
357,29/07/2016,Swim,1.5,05/12/2017,23:00:00
358,02/08/2016,Swim,1,05/12/2017,23:00:00
359,04/08/2016,Gym,1,05/12/2017,23:00:00
360,05/08/2016,Swim,3,05/12/2017,23:00:00
